NAME_EN,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
SUPHAN BURI,32.067,33.941,35.546,36.976,35.71,34.64,34.12,33.96,33.42,32.32,31.53,30.81
U THONG AGROMET.,31.338,33.987,36.181,36.86,34.81,34.61,33.68,33.73,33.61,32.44,31.24,31.02
LOP BURI,32.875,34.602,36.038,36.768,35.3,34.25,33.69,33.33,32.82,32.53,32.21,31.71
BUA CHUM,32.288,35.064,36.946,37.507,35.55,34.45,33.85,33.18,32.61,32.2,31.65,30.91
PILOT STATION,29.228,29.448,30.112,31.402,31.43,30.95,30.49,30.33,30.51,30.65,30.15,29.09
PRACHIN BURI,33.199,34.857,36.284,36.776,35.08,33.84,33.18,32.81,32.72,32.73,32.66,32.19
KABIN BURI,33.474,35.166,36.524,36.981,34.98,33.45,32.7,32.37,32.54,32.66,32.45,31.96
NAKHON RATCHASIMA,30.726,33.596,35.582,36.537,34.97,34.38,33.83,33.22,32.21,31.01,30.15,29.31
PAKCHONG AGROMET.,29.863,32.255,33.348,33.461,31.8,32.12,31.04,30.67,30.3,29.88,29.09,29.41
CHOK CHAI,30.988,33.535,35.184,35.934,34.46,33.9,33.38,32.83,31.98,30.91,30.09,29.38
